Data,B_Qty,C_Qty,D_Qty,E_Qty,F_Qty,G_Qty,Product_B,Product_C,Product_D,Product_E,Product_F,Product_G,Inst_Total,Reagent_B,Reagent_C,Reagent_D,Reagent_E,Reagent_F,Reagent_G,Cons_Total,customer_1,customer_5,customer_11,customer_14,customer_17,Total_SQ_PC
1-Jan-19,2,0,22,13,6,2,2000000,0,5940000,1560000,240000,20000,9760000,8263184.5,0,7129714.1,806448,278785.3,14629.5,16492761.4,15543119,3713000,1302856,1421490,1125999,25895340
1-Apr-19,3,0,25,0,0,1,3000000,0,6750000,0,0,10000,9760000,8053167.2,0,8146950.7,453525.8,126188,0,16779831.6,16168168,3819028,2271309,1395880,2948214,29557736
1-Jul-19,0,0,46,1,9,4,0,0,12420000,120000,360000,40000,12940000,8630781.4,0,7319716.6,441092.4,355355.6,0,16746946,19478534,1397282,3033029,600171,369660,28015719
1-Oct-19,7,0,4,3,20,1,7000000,0,1080000,360000,800000,10000,9250000,5965417.4,0,9526524.3,1200024.4,403370.6,17377.9,17112714.6,18174553,2946175,1274149,1187931,21067,26729096
1-Jan-20,0,0,13,2,1,1,0,0,3510000,240000,40000,10000,3800000,13494254.8,0,8001967.9,277061.9,80378.9,0,21853663.5,20098973,2043207,1508007,2124308,1410110,29205905
1-Apr-20,0,0,6,0,14,2,0,0,1620000,0,560000,20000,2200000,10483213.5,0,8830039.8,444201.6,217338.4,39092.6,20013885.9,15318669,2985189,2193064,281910,322422,24638988
1-Jul-20,3,1,26,0,0,0,3000000,320000,7020000,0,0,0,10340000,6025351.6,5115.3,7844915.9,457845.6,190656.6,8041.8,14531926.8,11624498,4522936,3251903,382680,3034904,27952926
1-Oct-20,2,0,27,2,2,0,2000000,0,7290000,240000,80000,0,9610000,9416738.6,51801,8207444.8,836909.2,439713.9,13876.1,18966483.6,14753568,2035987,2760821,2918391,623587,29295500
1-Jan-21,3,0,41,3,6,0,3000000,0,11070000,360000,240000,0,14670000,17500566.3,110091.3,12245245.7,735147.4,406216,24873.9,31022140.6,21530455,6750468,3443837,5123240,1584687,47755559
1-Apr-21,2,0,49,0,17,3,2000000,0,13230000,0,680000,30000,15940000,18208435.9,87279.9,15991317.7,897932.7,704399.2,46273.7,35935639.1,26689371,4971848,4466144,4608816,2392537,53497666
1-Jul-21,1,1,42,2,11,0,1000000,320000,11340000,240000,440000,0,13340000,12802732.7,72221.2,16786462.2,999979.3,629064.4,0,31290459.7,21772474,4235212,3562913,968736,3938438,46399125
1-Oct-21,2,0,27,1,8,0,2000000,0,7290000,120000,320000,0,9730000,10165491.5,99519.2,13990431.5,659374.3,802629.8,14505.7,25731952,20053689,3046098,2769947,2199792,220656,37224468
1-Jan-22,1,3,48,3,43,0,1000000,960000,12960000,360000,1720000,0,17000000,14451408.3,248746.7,15539945.6,861277.4,732327.9,15046.2,31848752,22371583,5341989,6383647,3702385,2417981,50230528
1-Apr-22,1,4,25,1,4,0,1000000,1280000,6750000,120000,160000,0,9310000,10109474.1,154320.7,17969527.1,1023406.1,1592975.8,33773,30883476.7,18667358,2655645,3869901,3559507,3440354,41244026
1-Jul-22,2,0,39,1,20,0,2000000,0,10530000,120000,800000,0,13450000,11695329.9,354916.1,16063115.8,705683.7,1552972.6,0,30372018.1,22530156,3732408,6312088,2938161,1523759,43351986
